Timestamp,SF ID of the candidate whose project is being reviewed,GitHub repo link under review,Is the GitHub link provided proper?,Folder structure is inline with the MiniProject template,"GitHub actions are added and are working for Build (Windows + Linux), Analysis, Unit testing",Clone and build works on Linux and Windows,High level and low level requirements are captured clearly with SWAT analysis,Design of the project is captured clearly with UML diagrams,Test plan captures Integration and unit test plans to test all the requirements,Multi function and Mutifile Approach is followed in the implementation of code,Number of Unit test cases written in total,Code is commented in Doxygen style and can generate document,"Makefile is written to build (Windows +Linux), Test unit test cases, Analyze(Static + Dynamic), Code Coverage ",Code is implemented using best practices [Comments are added for each function],"Code is implemented using best practices [Meaningful names for variables, functions and files]",Code is implemented using best practices [Dynamic memory is freed after use],"Code is implemented using best practices [Typedef used for enums, structures and function pointers]",Code is implemented using best practices [Structures used are passed to functions by pointers],Code is implemented using best practices [Use of function pointers],Code is implemented using best practices [Unit test cases to test all the written code - Code coverage],Overall Concepts/Elements/Components that you like about this project,Any other comments,Overall Concepts/Elements/Components that needs improvement in this project
15-04-2021 09:28,256274,https://github.com/256274/StepIn_Miniproject.git,Yes,Yes,No,No,No,Yes,No,Yes,0,No,No,No,Need improvement,No,No,No,No,No,"I think it just started a project need improvement in all area like commenting, testing etc.,",Work on this,Concept good working file but need some improvement
15-04-2021 09:33,265092,https://github.com/Tiwari007/L-T-Miniproject-in-C,Yes,Yes,Errors are shown,Yes,No,No,Needs improvements,Yes,4,Yes,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,No,No,No,It looks like a fun game and all the comments have been completed in the c files. ,,Some of the explanation involved in Readme files can be made more clear.
15-04-2021 09:34,260213,https://github.com/260213/Mini_project_260213.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,Implemented correctly,Need improvement,No,No,No,No,No,overall good but needs improvement,Its perfect ,meaningful names .
15-04-2021 09:36,264587,https://github.com/venkateswari4/miniproject.git,Yes,Some folders are missing,No,Yes,Yes,Needs improvements,Yes,Yes,1,Yes,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,No,Need improvement,Idea and Implementation is nice and a lot of progress has been made in implementation and good test plan,,Probably a src folder and inc folder in implementation would help sort files l and uml diagram for both high level and low level requirements 
15-04-2021 09:42,259738,https://github.com/ParyaniSagar/MiniProject-STEPin.git,Yes,Yes,Yes,Yes,Needs improvements,Yes,Yes,Yes,4,No,Yes,No,Implemented correctly,Implemented correctly,No,No,No,Implemented correctly,Readme files are very readable and provide lo of information about the project.,,Documentation need to be generated and code has to be commented in Doxygen style.
15-04-2021 09:46,256284,https://github.com/ShankarBalu/Miniproject_256284.git,Yes,Yes,No,Makefile to build on both OS is missing,Yes,No,No,Needs improvements,6,Need improvement,No,Need improvement,Need improvement,No,No,No,No,Need improvement,"Awesome requirements, clean and easy to understand code.",,Functions in hangman_operations can be divided into different files.
15-04-2021 09:50,265087,https://github.com/harsha7780/miniproject.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project not started.,,Project not started
15-04-2021 09:50,260214,https://github.com/260214/MinorProject.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,Project is not mentioned detaily,,"Needs to improve a lot, and instead of using doc files use markdown to edit the folders"
15-04-2021 09:53,255919,https://github.com/Gobikumaar-Sivagnanam/Miniproject_C.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,Need improvement,Yes,No,No,No,Need improvement,No,Implemented correctly,Implemented correctly,All things neatly done,,"Some factors such as best practices, naming of variables etc to be implemented"
15-04-2021 09:53,256889,https://github.com/hemanthasapu/256889-miniproject-ltts.git,Yes,Some folders are missing,Yes,Yes,No,No,Needs improvements,Yes,1,Yes,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,No,No,Good ,,Folder structure should be maintained properly
15-04-2021 09:53,256274,https://github.com/256274/StepIn_Miniproject.git,Yes,Some folders are missing,No,No,No,No,No,Yes,0,No,No,No,Implemented correctly,No,No,No,No,No,Readme files have been done well.,,"Makefile should contain coverage,unit testing,etc. Github actions, documentation,test plan, uml diagrams also have to be added."
15-04-2021 09:55,255913,https://github.com/Naman747/ltts_miniproject,No,No,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,Need improvement,Need improvement,No,No,No,No,No,Hope the project is in its final phases on the local machine.,,It needs a lot of improvements in almost all of the fields.
15-04-2021 09:56,260877,https://github.com/Mallineni-Venkata-Meghana/Mini-Project.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Nothing,,Everything
15-04-2021 09:57,260733,https://github.com/260733/MiniProject.git,Yes,Yes,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,Need improvement,Need improvement,No,No,No,No,No,Good,,Don't use the docx files write everything using markdown in readme files
15-04-2021 10:00,261714,https://github.com/VinuthnaGangula/MiniProject-LTTS,Yes,Yes,No,No,Yes,Yes,Needs improvements,Needs improvements,0,No,No,Need improvement,Need improvement,Need improvement,No,No,No,No,Better,,test cases
15-04-2021 10:01,258325,https://github.com/vatsaakash/ltts-stepin-project-258325,No,No,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Hope the project is in its final phases on the local machine.,,Project needs a lot of improvements.
15-04-2021 10:01,260201,https://github.com/Anvithagreddy/Project_ltts.git,No,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Needs improvements,No,Yes,0,No,Need improvement,No,Implemented correctly,No,No,No,No,No,Gives user an overall good working of a digital library,Try using function pointers and pointers in structures,Makefile needs to be completed. Test cases need to be completed. Github link provided is your overall repository Project_ltts and not the Mini_project
15-04-2021 10:03,255926,https://github.com/255926/LTTSMiniProject,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project is empty,,Project not started
15-04-2021 10:08,261530,https://github.com/yuktiPatel/MiniProject_261530.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Yes,No,Yes,6,No,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,No,No,No,Idea of the project is good. Used concepts pretty well.,,Code Coverage is not checked and other analysis should be checked.
15-04-2021 10:11,291513,https://github.com/Ravindrababu87/LTTS291513.git,Yes,Yes,No,Makefile to build on both OS is missing,Yes,Yes,Yes,Yes,3,Yes,No,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Implemented correctly,Requirements & Design approach,,Github actions are to be added
15-04-2021 10:12,260842,https://github.com/Sowmika26/Miniproject.git,Yes,Some folders are missing,Errors are shown,Errors during compilation,Yes,Needs improvements,Yes,Yes,3,Need improvement,Need improvement,No,Need improvement,No,No,Need improvement,Implemented correctly,Need improvement,Neatly done,,Improvements in Actions in  github
15-04-2021 10:14,255914,https://github.com/255914/MINI_PROJECT_LTTS.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,"Implementation part while executing,I palyed in output part nicely",,Good
15-04-2021 10:15,259797,https://github.com/Rahul1656/Stepin.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,It is based on library management system. so there are many functions involvved.,,No improvement required for the project.it is good
15-04-2021 10:16,256233,https://github.com/Saisanathpotnuru/Mini-Project-LTTS.git,Yes,No,No,Makefile to build on both OS is missing,No,No,No,Yes,0,No,No,No,Need improvement,No,Need improvement,No,No,No,Well structured multi file system and file handling used,,Testing has not been done and Makefile needs to be added
15-04-2021 10:18,256142,https://github.com/256142/Library-management-system.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Projeact is based on library management.There is little improvement needed.,,few folders are not attached oor not created
15-04-2021 10:20,261625,https://github.com/Vyaskaushik-vyas/261625-Project.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Good implementation,,Good
15-04-2021 10:21,260310,https://github.com/7ShouryaSingh70/Mini-Pro.git,Yes,Yes,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,"have not started on the project, cloned same repository of miniproject template",either project changes has not been updated in the repo or project has not been started,"need to implement own calculator adding unique features, currently its same as one available in stepin template repo"
15-04-2021 10:21,256284,https://github.com/ShankarBalu/Miniproject_256284.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,Implemented correctly,Implemented correctly,No,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Its a funny game and can be used by small age people.,,few folders have been missing and therefore need to be improved
15-04-2021 10:22,291603,https://github.com/291603/Mini_Project_LTTS.git,Yes,Yes,No,Makefile to build on both OS is missing,Needs improvements,Needs improvements,No,No,0,No,No,No,No,No,No,No,No,No,Interesting concept,,Ideas need to be stated clearly
15-04-2021 10:28,264673,"	https://github.com/isha121298/Mini_Project.git",Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Nothing implemented,,Not yet implemented
15-04-2021 10:28,256153,https://github.com/Sanchana-2k/LTTS_C_MiniProject.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,No,No,No,Yes,0,Need improvement,Need improvement,No,Implemented correctly,No,Implemented correctly,Implemented correctly,No,No,Multi file handling and use of files,,UML diagram for Low level requirements are not done. Makefile needs to be completed for coverage 
15-04-2021 10:30,291100,https://github.com/Harshbaisla/Miniproject-16-April-.git,Yes,Yes,No,No,Yes,Yes,No,No,0,No,Errors exist in makefile,No,No,No,No,No,No,No,Nothing,,"Need to upload the main ,Test,Make files"
15-04-2021 10:30,256640,https://github.com/TN-Sneha/256640_C_project,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,no details available,,no details available
15-04-2021 10:31,267243,https://github.com/govindbansal1309/mini-project.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,Good implementation,,Good
15-04-2021 10:32,265450,https://github.com/praveenct7/Ltts_Mini_Project,Yes,Yes,No,Yes,Yes,No,No,Needs improvements,0,No,Need improvement,Need improvement,Implemented correctly,Implemented correctly,No,Implemented correctly,No,No,have implemented the code part perfectly ,,"repo link works but the .git extension missing, unity testing pending but badges have unity tests success "
15-04-2021 10:35,291197,https://github.com/SarthakVerma26/L-AND-T_mini-project.git,Yes,Yes,No,No,Yes,Yes,No,Yes,0,No,Need improvement,Need improvement,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Need improvement,No,Learnt about the concept of typing game,,Testing should be updated
15-04-2021 10:36,292023,https://github.com/292023-lts/292023.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,no details available,,no details available
15-04-2021 10:37,264152,https://github.com/Mithunbharadwaj7/miniproject.git,Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Nothing,,Should be Upload  the total project
15-04-2021 10:37,259883,https://github.com/sammy-9930/Examination_Management_System.git,Yes,Yes,No,No,Yes,No,Needs improvements,Yes,6,Yes,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,No,No,Implemented correctly,Implemented correctly,"requirements done well, code written neatly ",,need to update makefile to run on both os 
15-04-2021 10:41,293653,https://github.com/AfridShaik/ltts_mini.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,23,Yes,Yes,Need improvement,Implemented correctly,No,Implemented correctly,No,No,Need improvement,The overall project is good cause this is something which every student badly needs and the thought which went behind this project is quiter commendable,,There were some concepts which were not implemented as it was not required in most of the cases but if you could implement those then it would be good
15-04-2021 10:42,256555,"	https://github.com/nishanthsri007/Miniproject_256555.git",Yes,Yes,No,Makefile to build on both OS is missing,Yes,Needs improvements,Needs improvements,Yes,3,Yes,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,Nice application,,Testplan not yet specified
15-04-2021 10:46,280439,https://github.com/280439/stepInproject,Yes,Some folders are missing,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,No,The repo is not complete .It only contains requirement and design folder. Implementation folder is missing.,,The repo is not complete .It only contains requirement and design folder. Implementation folder is missing. Could not see the code 
15-04-2021 10:46,295558,https://github.com/yashaswini295558/mini-project.git,Yes,No,No,No,No,No,No,No,none,No,No,No,No,No,No,No,No,No,project yet to be uploaded,they say great things take time and hoping that you would upload the project by tommorrow,project yet to be uploaded
15-04-2021 10:49,280948,https://github.com/krishnatarun15/MyFirst.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Components have not been added yet.,Kindly add the components.,Can't say until the elements have been added.
15-04-2021 10:50,264718,https://github.com/Anshuman264718/MiniProject.git,Yes,Some folders are missing,No,No,No,No,No,Yes,0,No,No,No,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,No,Nice idea,,Testcases and doxygen part
15-04-2021 10:52,260215,https://github.com/260215/260215.git,Yes,No,No,Yes,Yes,Yes,No,Yes,6,No,Yes,No,Implemented correctly,No,No,No,Need improvement,Implemented correctly,The UML diagrams are designed correctly with all the information.,,"Need to improve in the implementation part, by adding comments etc.,"
15-04-2021 10:52,264827,git@github.com:shashanparekh/stepin_project.git,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Implemented correctly,Need improvement,Need improvement,Implemented correctly,Implemented correctly,No,Need improvement,Beautiful presentation of the project ,,Please make your folder structure according to template provided
15-04-2021 10:54,292119,https://github.com/VelampudiRohit-292119/LTTSProject.git,Yes,Some folders are missing,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,good execution,na,no improvements
15-04-2021 10:54,265172,https://github.com/vikramattri123/Library_Management_System,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,NA,Repository is empty. Project not yet uploaded till now,NA
15-04-2021 10:55,256314," 	https://github.com/smritipillai/MiniProject.git",Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,No,No,No,0,Yes,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,No,NIL,NIL,"Implementation folder sub-folders to be added, multi-file programming approach, and Makefile to be made"
15-04-2021 10:58,258411,https://github.com/JainMridul82/258411_project.git,Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project is not implemented at all ,,"Friend, you've not done anything please complete it ASAP"
15-04-2021 10:58,263692,https://github.com/sairamyalinga/miniproject.git,Yes,No,No,No,No,No,No,No,No test cases have been written,No,No,No,No,No,No,No,No,No,Components have not been added yet.,Kindly add the components,Can't say until the components are added
15-04-2021 10:58,263681,https://github.com/ogiralasaivaishnavi/ltts_miniproject,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,NA,Repository is empty. Project not uploaded till now.,NA
15-04-2021 11:00,259807,https://github.com/Swathir1/ltts_MiniProject.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,neatly executed,no comments,no improvements
15-04-2021 11:02,291402,https://github.com/manasa4177/project_template,Yes,Yes,Yes,Makefile to build on both OS is missing,No,Yes,No,No,0,No,No,No,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Implemented correctly,No,The project is good. You have used other langauge along with C which is interesting.,Please add make file to build all your actions.,Make file is not there please add it. Unit testing is also not implemented.
15-04-2021 11:02,259035,https://github.com/Dhanushu1999/STEPin_Mini_Project.git,Yes,Yes,No,Yes,Yes,No,No,Yes,4,Yes,Yes,Implemented correctly,Implemented correctly,Need improvement,No,No,No,Need improvement,Code is quite clean and easy to read. The overall system is quite simple and hassle free.,,"Try to include pointers(structure pointers, function pointers etc) and try using dynamic memory allocation"
15-04-2021 11:02,258349,https://github.com/Kratos-28/258349_MINI_PROJECT,Yes,Some folders are missing,No,Yes,No,No,No,Yes,0,Need improvement,Yes,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,No,No,Implementation is executed very well.,,Design should be added.
15-04-2021 11:05,258298,https://github.com/harish1543/Step-in-Mini-Project.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Yes,No,Yes,0,No,No,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,No,NIL,,"Unit testing, Makefile, Implementation sub-folders approach"
15-04-2021 11:06,265091,https://github.com/HarshDubey265091/StepInProject,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,nothing is added,,nothing is added
15-04-2021 11:07,258352,https://github.com/soumyadeep2/pROJECT-LTTS-2021,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,only int main is implemented,Only int main is uploaded,Upload all the fiels
15-04-2021 11:08,255914,https://github.com/255914/MINI_PROJECT_LTTS.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,Very good project and implemented nicely.,,Very good . you can add about future improvements if possible.
15-04-2021 11:09,260315,https://github.com/260315/MiniProject_LTTS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,Yes,Implemented correctly,Implemented correctly,Implemented correctly,No,No,No,Implemented correctly,Efficiently Imlemented,NA,Cn use pointers otherwise nice project
15-04-2021 11:10,255913,https://github.com/Naman747/ltts_miniproject,Yes,Some folders are missing,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,No,No,No,No,No,No,No,The project has not been updated in Github account.,,The project has not yet been updated in Github account
15-04-2021 11:11,259890,https://github.com/Chiranthana14/LTTS-Mini-project-script-Identifier,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project not made only,,NA
15-04-2021 11:13,259945,https://github.com/RAkanksha/MiniProject_TransformCalculation.git,Yes,Yes,No,No,Yes,Yes,No,Yes,4,Yes,No,Need improvement,No,No,Need improvement,No,No,Need improvement,"It was nice to see fundamental embedded branch concepts implemented in a C program.
Also the UML diagrams were excellent.",,"Please describe your test plan
Name your variables in a more ""described manner""
Update make to run on both OS,Setup Github actions
Please give more details on the overall project in the first readme file "
15-04-2021 11:13,261628,https://github.com/prathyuyerragudi/prathyu.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Needs improvements,No,No,No,Unit test cases are not implemented yet.,No,No,No,No,Need improvement,No,No,No,No,The project is good but needs the format of the miniproject_template. All the required files testing needs to be added.,"UML diagrams, requirements and testing can be implemented in a better way.",Concepts are different and as it is a game you can further add some expressions for winning the game and some comments.
15-04-2021 11:14,265034,https://github.com/Akshatamitvyas/Mini_project,Yes,Some folders are missing,No,No,Yes,Yes,No,Needs improvements,NA,Yes,No,Implemented correctly,Implemented correctly,No,Implemented correctly,Implemented correctly,Implemented correctly,No,Coding concepts are clera,need to implement test cases,test cases and other template
15-04-2021 11:15,256100,https://github.com/MeghanaMeda/256100_MiniProject_LTTS.git,Yes,Yes,Yes,Yes,No,No,Yes,Yes,4,No,Yes,No,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,the idea of the  project is amazing .. the code logic written is good ,,needs a little improvement in documentation and add windows build status
15-04-2021 11:17,258325,https://github.com/vatsaakash/ltts-stepin-project-258325,Yes,Some folders are missing,No,Makefile to build on both OS is missing,No,No,No,Needs improvements,Test cases are no yet updated in the repository,No,No,No,No,No,No,No,No,No,The project has not been updated in the repository.,,The project has not been updated in the repository.
15-04-2021 11:19,291862,https://github.com/visweswar299/mini_project.git,Yes,Some folders are missing,No,No,No,No,No,No,N.A,No,No,No,No,No,No,No,No,No,The Repository has just basic description of the project only. ,"I guess project is left to be pushed to the repo. Kindly look for the markdown language, preview helps to write and format properly.",Only Description in requirements. Project is in initial stage
15-04-2021 11:19,264675,https://github.com/TGaanalola/LTTS_Mini_Project.git,Yes,Yes,No,No,Needs improvements,Needs improvements,Needs improvements,Needs improvements,0,Yes,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Implementation part is not done.,no Comments,Implementation part is not done and needs to be done.
15-04-2021 11:19,261528,https://github.com/Prapti312/Mini_Project.git,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Yes,Yes,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Implemented correctly,project is beautifully presented," You can make long int d a pointer variable it is working fine for me , than try passing the (long int *d) value as a reference Decimal_to_Binary(&d);",Error while converting decimal to any other number it is returning garbage value
15-04-2021 11:20,260159,https://github.com/99cherrys/Online-voting-system,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Yes,No,Yes,0,No,No,No,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,No,the idea of the project is good .. implementation needs work ... ,,please complete the implementation and add build status badges 
15-04-2021 11:20,260913,https://github.com/AnnapoornaDevarasetty/MiniProject_C_260913,Yes,Yes,No,Errors during compilation,No,Needs improvements,Needs improvements,Yes,none,No,No,Need improvement,Need improvement,No,Need improvement,No,No,No,The concept is good,The overall concept is good but needs a bit more improvement,concept wise the project is good but needs improvement in implementation part
15-04-2021 11:21,256546,https://github.com/RKRAKSHITA/Mini_Project,Yes,Some folders are missing,No,Yes,Yes,Yes,Yes,Yes,4,Yes,No,Implemented correctly,Implemented correctly,No,No,No,No,Implemented correctly,codes are correct but some folders are missing,Add remaining part,nicely implemented
15-04-2021 11:21,258260,https://github.com/bmaan99/TicTacToeWithC.git,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Yes,No,Implemented correctly,Implemented correctly,Implemented correctly,No,No,Need improvement,Implemented correctly,Multifile Programming is implemented in a proper way as well as the naming of different variable is very good ,,U need to remove your os dependency and can use structure in your program 
15-04-2021 11:23,291402,manasa4177/project_template,No,Yes,Yes,Makefile to build on both OS is missing,No,No,Yes,Yes,1,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,satisfactory,,need some improvements
15-04-2021 11:23,258102,https://github.com/praveenkumarg204/LTTs_Mini_Project_C,Yes,No,No,No,No,No,No,No,0,No,No,No,Implemented correctly,Need improvement,No,Implemented correctly,Implemented correctly,Need improvement,N/A,"Folder Structure is missing.
Multifile concept is not used",Implementaion and Design part
15-04-2021 11:24,256305,https://github.com/ad-6/MiniProject.git,Yes,Yes,No,No,Yes,No,No,Yes,5,Need improvement,Need improvement,Need improvement,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,Implemented correctly,A simple and compact banking application,,"Please update 
1. readme file on homepage of the repo
2. UML diagrams
3. makefile to run on both OS
4. Github actions
5. Test plan 
Doxygen style comments need to be updated for every function in the header file"
15-04-2021 11:28,255934,https://github.com/255934/COVID_PATIENT_MANAGEMENT_SYSTEM.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Yes,Yes,Implemented correctly,Implemented correctly,Need improvement,No,Implemented correctly,No,Implemented correctly,The concept is really good and well executed. All the functions are clean and understandable. ,Only the thing is need to add one structure UML  diagram as per the miniproject_template.,Can add comments in the files of src folder.
15-04-2021 11:28,260757,https://github.com/sarthaknaithani/C_MiniProject_LTTS,Yes,Yes,Yes,Yes,No,No,No,Yes,8,Yes,Yes,Implemented correctly,Implemented correctly,No,Implemented correctly,Implemented correctly,No,Implemented correctly,i don't know what is ncurses but i can understand what the coder is trying to do. Good work.,,Function Pointer and dynamic memory can be used if it fits your code
15-04-2021 11:29,258372,https://github.com/princekr3010/StepIn_MiniProject,Yes,Some folders are missing,No,No,Needs improvements,Yes,Needs improvements,Yes,5,Yes,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,No,Need improvement,Architecture part is good.,Design part needs a little improvement.,Design
15-04-2021 11:30,255914,https://github.com/255914/MINI_PROJECT_LTTS.git,Yes,Yes,Yes,Yes,Yes,Needs improvements,Yes,Yes,2,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,satisfactory,,nice concept
15-04-2021 11:30,259855,https://github.com/akshay300712/LnT_Mini_Project,Yes,Yes,Yes,Yes,Yes,No,No,No,0,No,No,Implemented correctly,Implemented correctly,No,No,No,No,No,"A good game, to start with as a project",,NA
15-04-2021 11:31,256546,https://github.com/RKRAKSHITA/Mini_Project.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Yes,No,Yes,4,Need improvement,No,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,No,No,Need improvement,Digital logics ,,"Need to add Makefile to build on both OS , need to implement github workflows, and in make file need to write code coverage."
15-04-2021 11:32,258363,https://github.com/258363/miniproject_258363.git,Yes,Yes,No,No,No,No,No,No,"N,A",No,No,No,No,No,No,No,No,No,Nothing in the Repository. It is the example repository cloned from the template.,,The Project is in the initial phase
15-04-2021 11:34,261805,https://github.com/Dhyey-Hulk/LTTS-MiniProject.git,Yes,Yes,No,No,Yes,No,No,Yes,1,Yes,No,Implemented correctly,Implemented correctly,Implemented correctly,No,No,Implemented correctly,No,The documentation and the folder structures are inline with the template. Code has been  written with proper comments.Multi file approach is followed.,-,Adding more unit test cases would do good. Makefile should be written to build on both OS- Windows and linux.
15-04-2021 11:35,258297,https://github.com/anonymous3434/tic_tac_toe,No,Some folders are missing,No,Makefile to build on both OS is missing,No,No,No,Needs improvements,0,No,No,No,Implemented correctly,No,Need improvement,No,No,No,Good project idea.,"Please use C language in your project. Atleast 100 lines should be there and use all the concepts taught in connect session like typedef, function pointers, structures, unit test and all.","Unit testing, GitHub action, uml diagrams, SWOT analysis, makefiles should be implemented. Also give the proper GitHub url which ends with .git.
All the best!"
15-04-2021 11:36,260459,https://github.com/Madhuraaaaa/StepIn-Mini-project.git,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6,Yes,Yes,Implemented correctly,Need improvement,No,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,Your code implementation is correct as well as easy to under,,first of all your testcase does not work they are giving a include error on my local machine on the other hand your project (exe or out) file didn't hold its output on cmd so i was unable to see output of your code 
15-04-2021 11:36,258695,https://github.com/codemonk-007/LnT_Mini-Project1.git,Yes,Yes,No,Makefile to build on both OS is missing,No,No,No,No,4,No,No,No,Need improvement,No,No,No,No,No,nothing has been done,,"please add the requirements , design ,implementation"
15-04-2021 11:38,261625,https://github.com/Vyaskaushik-vyas/261625-Project.git,Yes,Yes,No,No,Yes,No,No,Yes,1,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,need improvement,,"implementation,test plan"
15-04-2021 11:41,266918,https://github.com/udupaAnusha/MiniProject_LTTS.git,Yes,No,Errors are shown,Makefile to build on both OS is missing,Yes,Yes,No,Yes,Test cases are not yet implemented under the test folder in implementation,Need improvement,Need improvement,Need improvement,Implemented correctly,No,Need improvement,Need improvement,No,No,I feel that the requirements have been done very well.,,I think it is better to use typedef for structures.
